Species	Acetate Binary Phenotype	Formate Binary Phenotype	L-Lactate Binary Phenotype	D-Lactate Binary Phenotype
Prevotella albensis	1	1	0	0
Prevotella bivia	1	0	0	0
Prevotella buccae	1	1	0	0
Prevotella copri	1	1	0	0
Prevotella corporis	1	1	0	0
Prevotella denticola	1	1	0	1
Prevotella disiens	1	1	0	0
Prevotella intermedia	1	1	0	0
Prevotella melaninogenica	1	1	0	1
Prevotella nanceiensis	1	1	0	1
Prevotella nigrescens	1	1	0	0
Prevotella oulorum	1	0	0	0
Prevotella pallens	1	1	0	0
Prevotella salivae	1	1	0	0
Prevotella stercorea	1	1	0	0
Alloprevotella tannerae	1	1	0	0
Prevotella timonensis	1	0	0	0
Prevotella veroralis	1	1	0	1
Cutibacterium acnes	0	0	1	0
Proteus mirabilis	1	1	0	1
Proteus vulgaris	1	1	0	1
Providencia rettgeri	1	1	0	1
Providencia stuartii	1	1	0	1
Pseudobutyrivibrio ruminis	1	1	1	0
Pseudoflavonifractor capillosus	1	1	0	0
Pseudomonas aeruginosa	1	0	0	1
Pseudomonas fluorescens	1	0	0	1
Pseudomonas stutzeri	1	0	0	1
Pyramidobacter piscolens	0	1	0	0
Rhodococcus erythropolis	1	0	1	0
Roseburia hominis	1	1	1	1
Roseburia intestinalis	1	1	1	0
Roseburia inulinivorans	1	1	1	0
Rothia dentocariosa	1	0	1	0
Rothia mucilaginosa	1	0	1	0
Rudanella lutea	0	0	0	1
Ruminococcus albus	1	1	1	0
Ruminococcus bromii	0	1	1	0
Ruminococcus gauvreauii	1	1	1	1
[Ruminococcus] gnavus	1	1	1	1
Blautia obeum	1	1	1	1
Ruminococcus champanellensis	0	1	1	0
[Ruminococcus] torques	1	1	1	1
Salmonella enterica	1	1	0	1
Scardovia inopinata	1	1	1	0
Schlesneria paludicola	0	0	1	0
Selenomonas sputigena	0	1	0	0
Serratia fonticola	1	1	0	1
Silanimonas lenta	0	0	0	1
Slackia piriformis	1	0	1	0
Spirosoma linguale	0	0	0	1
Staphylococcus aureus	1	1	1	1
Staphylococcus capitis	1	0	1	1
Staphylococcus epidermidis	1	1	1	1
Staphylococcus hominis	1	0	1	1
Staphylococcus intermedius	1	1	1	1
Staphylococcus lugdunensis	1	1	1	1
Staphylococcus simulans	1	1	1	1
Staphylococcus xylosus	1	1	1	1
Streptococcus agalactiae	1	1	1	1
Streptococcus anginosus	1	1	1	0
Streptococcus constellatus	1	1	1	0
Streptococcus dysgalactiae	1	1	1	0
Streptococcus gallolyticus	1	1	1	0
Streptococcus infantis	1	1	1	0
Streptococcus intermedius	1	1	1	0
Streptococcus mitis	1	1	1	0
Streptococcus mutans	1	1	1	0
Streptococcus parasanguinis	1	1	1	0
Streptococcus pasteurianus	1	1	1	0
Streptococcus pneumoniae	1	1	1	0
Streptococcus pyogenes	1	1	1	1
Streptococcus salivarius	1	1	1	0
Streptococcus sanguinis	1	1	1	0
Streptococcus thermophilus	1	1	1	0
Streptococcus vestibularis	1	1	1	0
Subdoligranulum variabile	1	1	0	1
Sutterella parvirubra	0	0	0	0
Sutterella wadsworthensis	0	0	0	0
-	0	1	0	0
Tannerella forsythia	1	1	0	0
Tropheryma whipplei	0	0	0	0
-	1	1	1	1
Ureaplasma urealyticum	1	0	0	0
Varibaculum cambriense	1	1	1	0
Veillonella atypica	1	1	1	0
Veillonella dispar	1	1	1	0
Veillonella parvula	1	1	1	0
Veillonella seminalis	1	1	0	0
Vibrio furnissii	1	1	1	1
Victivallis vadensis	1	1	0	0
Weissella cibaria	1	0	1	1
Weissella koreensis	1	0	0	1
Yersinia enterocolitica	1	1	0	1
Yokenella regensburgei	1	1	0	1
